"id","temp","bar","hum","sol","w.d","w.s","dt"
"53",7.71,987.92,85.6064,61.12,347.66547,1.52,"2008-01-01 08:40"
"54",7.76,987.96,85.1968,61.76,35.1187,1.26667,"2008-01-01 08:50"
"55",7.78,987.96,84.736,67.28,357.33453,1.30667,"2008-01-01 09:00"
"56",7.82,988.03,84.6848,69.6,8.34532,1.21333,"2008-01-01 09:10"
"57",7.84,988.06,84.992,69.36,6.96763,1.02667,"2008-01-01 09:20"
"58",7.88,988.09,85.0432,75.12,340.41367,0.53333,"2008-01-01 09:30"
"59",7.92,988.16,84.992,99.76,333.27698,0.77333,"2008-01-01 09:40"
"60",8.04,988.23,84.2752,125.76,339.49281,1.25333,"2008-01-01 09:50"
"61",8.15,988.19,83.3536,148,13.78058,2.30667,"2008-01-01 10:00"
"62",8.22,988.09,82.8928,147.76,9.21942,2.16,"2008-01-01 10:10"
"63",8.31,988.16,82.8928,137.04,30.21223,1.70667,"2008-01-01 10:20"
"64",8.4,988.09,82.7392,138.56,355.3777,1.41333,"2008-01-01 10:30"
"65",8.49,987.99,82.3296,171.36,22.26978,1.85333,"2008-01-01 10:40"
"66",8.58,987.93,82.2272,197.52,354.22662,1.56,"2008-01-01 10:50"
"67",8.69,987.89,81.92,231.2,29.21942,1.29333,"2008-01-01 11:00"
"68",8.8,987.79,81.664,232.4,6.47842,1.56,"2008-01-01 11:10"
"69",8.88,987.7,81.0496,244.4,17.70863,1.61333,"2008-01-01 11:20"
"70",8.95,987.63,80.64,260.48,347.66547,1.10667,"2008-01-01 11:30"
"71",8.99,987.49,80.5376,249.84,377.70863,1.46667,"2008-01-01 11:40"
"72",9.02,987.26,80.4352,243.52,39.19065,1.45333,"2008-01-01 11:50"
"73",9.1,987.16,80.4352,281.12,318.08273,0.69333,"2008-01-01 12:00"
"74",9.29,986.96,80.5376,311.6,272.15468,0.53333,"2008-01-01 12:10"
"75",9.46,986.76,79.6672,403.84,340.18345,0.85333,"2008-01-01 12:20"
"76",9.74,986.56,79.616,579.2,41.07554,0.74667,"2008-01-01 12:30"
"77",10.27,986.46,77.7216,567.04,79.80935,0.82667,"2008-01-01 12:40"
"78",10.09,986.36,76.5952,490.88,25.89568,1.46667,"2008-01-01 12:50"
"79",9.9,986.33,76.1344,424.96,24.15468,2.13333,"2008-01-01 13:00"
"80",9.99,986.3,75.52,473.6,354.91727,2.2,"2008-01-01 13:10"
"81",10.1,986.16,74.8032,530.56,359.7518,2.14667,"2008-01-01 13:20"
"82",10.17,985.99,74.5472,455.68,331.32014,2.21333,"2008-01-01 13:30"
"83",10.12,985.96,74.7008,396.8,335.1187,2.14667,"2008-01-01 13:40"
"84",10.04,985.93,75.008,371.2,328.44245,1.81333,"2008-01-01 13:50"
"85",10.11,985.89,75.264,406.4,278.14029,1.50667,"2008-01-01 14:00"
"86",10.28,985.73,75.3152,415.36,314.28417,1.57333,"2008-01-01 14:10"
"87",10.35,985.63,75.7248,460.8,303.69425,1.57333,"2008-01-01 14:20"
"88",10.57,985.63,75.8784,396.8,26.51439,1.50667,"2008-01-01 14:30"
"89",10.38,985.73,75.9296,327.04,329.01799,1.73333,"2008-01-01 14:40"
"90",10.1,985.66,76.2368,293.12,4.89928,2.2,"2008-01-01 14:50"
"91",10.09,985.63,76.1344,314.4,327.63669,2.09333,"2008-01-01 15:00"
"92",10.26,985.53,75.6736,314.08,338.45684,2.06667,"2008-01-01 15:10"
"93",10.17,985.57,75.9296,268.64,304.5,1.77333,"2008-01-01 15:20"
"94",10.02,985.66,76.4928,247.84,317.04676,1.77333,"2008-01-01 15:30"
"95",9.77,985.73,77.056,209.92,341.67986,1.94667,"2008-01-01 15:40"
"96",9.63,985.83,77.8752,182,342.83094,1.42667,"2008-01-01 15:50"
"97",9.57,985.93,78.0288,159.92,303.57914,1.29333,"2008-01-01 16:00"
"98",9.52,986.03,78.336,143.52,330.85971,1.04,"2008-01-01 16:10"
"99",9.48,985.96,78.592,146.24,321.65108,1.06667,"2008-01-01 16:20"
"100",9.51,985.99,78.7456,128.16,335.23381,0.98667,"2008-01-01 16:30"
"101",9.43,986.03,79.0528,100.24,328.67266,0.86667,"2008-01-01 16:40"
"102",9.26,985.99,79.8208,64.56,328.78777,0.69333,"2008-01-01 16:50"
"103",9.12,985.99,80.2816,37.42,328.90288,0.4,"2008-01-01 17:00"
"104",8.85,985.99,81.3056,20.66,328.55755,0.4,"2008-01-01 17:10"
"105",8.58,985.9,82.2272,10.14,75.20504,0.4,"2008-01-01 17:20"
"106",8.06,986.06,83.5072,4.7125,129.88129,0.81333,"2008-01-01 17:30"
"107",7.6,986.13,85.6576,2.97125,104.21223,1.32,"2008-01-01 17:40"
"108",7.51,986.13,86.3232,2.34375,99.26259,1.33333,"2008-01-01 17:50"
"109",7.47,986.1,86.1184,2.36625,104.09712,1.48,"2008-01-01 18:00"
"110",7.19,986.13,85.4528,2.3425,110.77338,1.17333,"2008-01-01 18:10"
"111",6.96,986.16,86.4256,2.38625,102.94604,1.13333,"2008-01-01 18:20"
"112",7.17,986.23,85.9648,2.38125,106.05396,1.34667,"2008-01-01 18:30"
"113",6.99,986.3,85.8112,2.35375,99.03237,1.01333,"2008-01-01 18:40"
"114",7.14,986.3,85.8112,2.40375,94.77338,1.45333,"2008-01-01 18:50"
"115",7.31,986.3,85.248,2.35875,99.60791,1.29333,"2008-01-01 19:00"
"116",7.28,986.39,84.992,2.95375,103.52158,0.77333,"2008-01-01 19:10"
"117",7.11,986.43,85.0944,2.35,101.56475,0.49333,"2008-01-01 19:20"
"118",7.05,986.43,85.8112,2.3625,120.21223,0.62667,"2008-01-01 19:30"
"119",7.33,986.43,86.3744,2.37375,106.6295,1.25333,"2008-01-01 19:40"
"120",7.58,986.46,85.8624,2.35375,106.97482,0.96,"2008-01-01 19:50"
"121",7.71,986.5,85.504,2.32375,105.2482,1.13333,"2008-01-01 20:00"
"122",7.63,986.53,85.1456,2.3175,105.70863,0.77333,"2008-01-01 20:10"
"123",7.54,986.63,85.5552,2.3525,116.98921,0.66667,"2008-01-01 20:20"
"124",7.89,986.63,85.3504,2.38625,130.80216,1.38667,"2008-01-01 20:30"
"125",8.08,986.63,84.8896,2.36625,130.80216,1.6,"2008-01-01 20:40"
"126",8.44,986.53,84.7872,2.33125,144.15468,1.81333,"2008-01-01 20:50"
"127",8.52,986.73,85.0432,2.3725,139.32014,0.90667,"2008-01-01 21:00"
"128",8.26,986.76,85.9648,2.33125,126.31295,0.50667,"2008-01-01 21:10"
"129",8.13,986.79,87.04,2.3275,139.32014,0.68,"2008-01-01 21:20"
"130",8.13,986.79,87.7056,2.34375,141.85252,1.53333,"2008-01-01 21:30"
"131",8.18,986.7,88.1664,2.31125,139.32014,1.53333,"2008-01-01 21:40"
"132",8.22,986.76,88.4224,2.3375,141.04676,1.97333,"2008-01-01 21:50"
"133",8.21,986.83,89.0368,2.34875,137.36331,1.42667,"2008-01-01 22:00"
"134",8.17,986.76,89.9072,2.32875,124.24101,2.01333,"2008-01-01 22:10"
"135",8.21,986.59,90.5216,2.335,127.57914,2.06667,"2008-01-01 22:20"
"136",8.14,986.66,91.136,2.345,162.57194,1.8,"2008-01-01 22:30"
"137",8.17,986.59,91.2384,2.31625,123.43525,1.93333,"2008-01-01 22:40"
"138",8.12,986.63,90.7776,2.37875,153.13309,1.97333,"2008-01-01 22:50"
"139",8.08,986.66,90.1632,2.36375,199.06115,1.84,"2008-01-01 23:00"
"140",8.07,986.73,90.2144,2.38,193.07554,1.37333,"2008-01-01 23:10"
"141",8.08,986.79,90.5728,2.34375,171.66547,1.48,"2008-01-01 23:20"
"142",8.13,986.66,91.0336,2.3375,135.29137,1.61333,"2008-01-01 23:30"
"143",8.12,986.59,91.1872,2.36625,157.04676,1.96,"2008-01-01 23:40"
"144",8.06,986.53,91.3408,2.355,163.14748,2.01333,"2008-01-01 23:50"
"145",8.07,986.43,91.1872,2.3725,153.13309,1.94667,"2008-01-02 00:00"
"146",8.17,986.39,90.624,2.3525,149.56475,2.33333,"2008-01-02 00:10"
"147",8.24,986.36,89.344,2.36,138.6295,2.78667,"2008-01-02 00:20"
"148",8.37,986.33,87.6544,2.335,142.54316,2.85333,"2008-01-02 00:30"
"149",8.4,986.33,86.2208,2.35,152.32734,2.32,"2008-01-02 00:40"
"150",8.39,986.36,85.6064,2.37125,144.15468,1.96,"2008-01-02 00:50"
"151",8.41,986.3,85.2992,2.34625,162.22662,2.21333,"2008-01-02 01:00"
"152",8.41,986.33,85.0432,2.36875,157.04676,1.8,"2008-01-02 01:10"
"153",8.33,986.33,84.8384,2.32125,157.04676,2.01333,"2008-01-02 01:20"
"154",8.24,986.33,83.9168,2.3275,144.5,2.30667,"2008-01-02 01:30"
"155",8.02,986.39,82.7392,2.38,167.29137,2.14667,"2008-01-02 01:40"
"156",8.08,986.43,78.0288,2.375,249.36331,1.94667,"2008-01-02 01:50"
"157",8.04,986.43,76.7488,2.385,197.10432,1.48,"2008-01-02 02:00"
"158",8.06,986.56,76.4416,2.365,197.56475,1.52,"2008-01-02 02:10"
"159",8.01,986.66,76.6976,2.365,174.08273,1.45333,"2008-01-02 02:20"
"160",7.8,986.76,75.8272,2.4,273.42086,1.25333,"2008-01-02 02:30"
"161",8.04,986.76,63.488,2.39,240.84532,1.73333,"2008-01-02 02:40"
"162",8.1,986.7,59.0848,2.41625,248.67266,1.42667,"2008-01-02 02:50"
"163",8.23,986.76,55.2448,2.38,258.45684,2.34667,"2008-01-02 03:00"
"164",8.12,986.86,52.0704,2.43375,291.03237,0.97333,"2008-01-02 03:10"
"165",8.12,986.9,47.9232,2.39625,266.97482,2.18667,"2008-01-02 03:20"
"166",8.07,986.86,47.104,2.4075,193.07554,2.25333,"2008-01-02 03:30"
"167",8.11,986.99,46.592,2.40125,246.14029,3.28,"2008-01-02 03:40"
"168",8.03,986.9,48.128,2.4125,244.75899,2.89333,"2008-01-02 03:50"
"169",7.91,986.93,49.5104,2.4125,272.15468,1.69333,"2008-01-02 04:00"
"170",7.73,986.96,49.664,2.43,260.29856,0.85333,"2008-01-02 04:10"
"171",7.54,986.96,50.4832,2.36125,213.33453,0.8,"2008-01-02 04:20"
"172",7.34,986.86,53.0432,2.405,149.33453,1.18667,"2008-01-02 04:30"
"173",7.24,986.86,52.7872,2.36875,152.44245,1.54667,"2008-01-02 04:40"
"174",7.12,986.93,54.1184,2.4025,160.26978,1.78667,"2008-01-02 04:50"
"175",6.9,986.93,55.6032,2.3775,130.34173,1.73333,"2008-01-02 05:00"
"176",6.63,986.93,56.8832,2.39875,162.91727,2.13333,"2008-01-02 05:10"
"177",7,987.03,54.4256,2.37125,222.42806,1.85333,"2008-01-02 05:20"
"178",7.01,986.96,55.2448,2.3975,180.06834,1.62667,"2008-01-02 05:30"
"179",6.89,986.93,56.576,2.44125,226.22662,2.18667,"2008-01-02 05:40"
"180",6.76,987.1,56.6784,2.43625,267.66547,1.56,"2008-01-02 05:50"
"181",6.7,987.39,56.1664,2.4475,255.80935,1.17333,"2008-01-02 06:00"
"182",6.8,987.53,54.9888,2.41625,266.28417,1.6,"2008-01-02 06:10"
"183",6.69,987.59,54.4768,2.40375,267.43525,0.85333,"2008-01-02 06:20"
"184",6.51,987.59,54.4256,2.3925,212.8741,0.72,"2008-01-02 06:30"
"185",6.5,987.63,54.3232,2.38875,112.38489,1.26667,"2008-01-02 06:40"
"186",6.02,987.63,56.9344,2.395,143.92446,1.37333,"2008-01-02 06:50"
"187",5.88,987.63,57.3952,2.3675,117.21942,1.61333,"2008-01-02 07:00"
"188",5.5,987.7,59.1872,2.4225,103.29137,1.56,"2008-01-02 07:10"
"189",5.63,987.76,58.4704,3.60375,117.67986,1.34667,"2008-01-02 07:20"
"190",5.14,987.73,61.2352,4.1475,126.42806,1.36,"2008-01-02 07:30"
"191",4.85,987.76,62.6688,9.3,157.73741,0.86667,"2008-01-02 07:40"
"192",5.24,987.86,60.16,18.09,103.86691,0.89333,"2008-01-02 07:50"
"193",5.22,987.92,60.3136,36.76,108.01079,1.06667,"2008-01-02 08:00"
"194",5.23,987.89,60.928,58.8,181.56475,0.69333,"2008-01-02 08:10"
"195",5,987.99,62.72,76.4,132.18345,0.58667,"2008-01-02 08:20"
"196",5.13,987.99,63.488,101.76,113.19065,0.72,"2008-01-02 08:30"
"197",5.23,988.06,64.3072,128.16,135.52158,1.38667,"2008-01-02 08:40"
"198",5.68,988.09,62.1568,162,142.54316,1.66667,"2008-01-02 08:50"
"199",6.03,988.12,60.2624,202.08,145.19065,2.37333,"2008-01-02 09:00"
"200",6.49,988.26,57.9072,216.64,213.33453,1.62667,"2008-01-02 09:10"
"201",6.77,988.32,57.5488,236.24,174.77338,0.93333,"2008-01-02 09:20"
"202",7.04,988.49,54.784,281.92,165.67986,1.24,"2008-01-02 09:30"
"203",7.29,988.59,52.9408,297.36,219.32014,1.41333,"2008-01-02 09:40"
"204",7.48,988.59,52.6848,300.4,125.73741,1.01333,"2008-01-02 09:50"
"205",7.61,988.69,53.3504,353.92,191.69424,1.77333,"2008-01-02 10:00"
"206",7.79,988.72,52.3776,370.56,219.55036,1.52,"2008-01-02 10:10"
"207",7.84,988.76,51.6096,403.84,208.26978,2.02667,"2008-01-02 10:20"
"208",7.99,988.76,51.6096,412.8,250.6295,1.02667,"2008-01-02 10:30"
"209",8.15,988.76,50.944,428.8,198.94604,1.62667,"2008-01-02 10:40"
"210",8.17,988.69,50.7392,432,220.01079,2.09333,"2008-01-02 10:50"
"211",8.15,988.69,51.0976,432,210.11151,2.10667,"2008-01-02 11:00"
"212",8.1,988.72,52.0704,437.12,225.30576,2.41333,"2008-01-02 11:10"
"213",8.13,988.66,51.2512,406.4,265.59352,1.70667,"2008-01-02 11:20"
"214",8.52,988.52,49.6128,463.36,266.28417,1.97333,"2008-01-02 11:30"
"215",8.93,988.39,49.9712,508.16,271.46403,2.50667,"2008-01-02 11:40"
"216",9.07,988.32,46.848,448.64,251.43525,2.72,"2008-01-02 11:50"
"217",8.95,988.16,47.872,394.24,271.0036,2.70667,"2008-01-02 12:00"
"218",9,988.06,48.9472,379.52,189.27698,2.77333,"2008-01-02 12:10"
"219",9.25,987.99,49.8176,428.8,281.59352,2.04,"2008-01-02 12:20"
"220",9.13,987.99,49.3056,524.8,235.55036,2.44,"2008-01-02 12:30"
"221",9.08,987.96,49.92,553.6,230.48561,2.62667,"2008-01-02 12:40"
"222",9.17,987.79,48.9984,526.08,196.75899,3.38667,"2008-01-02 12:50"
"223",9.36,987.9,47.9744,468.48,236.58633,4.33333,"2008-01-02 13:00"
"224",9.16,987.86,49.1008,426.24,238.88849,4.86667,"2008-01-02 13:10"
"225",8.99,987.76,48.5376,367.36,249.82374,4.10667,"2008-01-02 13:20"
"226",8.87,987.73,48.6912,358.4,251.66547,3.89333,"2008-01-02 13:30"
"227",9.04,987.66,48.6912,313.44,258.22662,2.49333,"2008-01-02 13:40"
"228",9.28,987.49,49.2032,262,189.27698,2.78667,"2008-01-02 13:50"
"229",9.92,987.33,46.848,223.52,188.47122,3.25333,"2008-01-02 14:00"
"230",10.33,987.23,44.4928,258.96,226.68705,3.92,"2008-01-02 14:10"
"231",10.34,987.1,45.4656,368,221.50719,4.14667,"2008-01-02 14:20"
"232",10.21,987.1,43.0592,376.32,236.24101,4.57333,"2008-01-02 14:30"
"233",9.51,987.16,44.4416,292.08,208.84532,4.85333,"2008-01-02 14:40"
"234",9.48,987.16,43.6224,226.4,285.6223,4.46667,"2008-01-02 14:50"
"235",9.77,987.16,42.4448,243.68,182.3705,4.66667,"2008-01-02 15:00"
"236",9.85,987.23,42.1376,269.76,314.6295,4.76,"2008-01-02 15:10"
"237",9.48,987.26,42.1376,255.04,278.02518,4.62667,"2008-01-02 15:20"
"238",9.27,987.3,43.4688,150.72,253.27698,4.78667,"2008-01-02 15:30"
"239",9.1,987.26,43.8272,117.28,234.05396,4.17333,"2008-01-02 15:40"
"240",9.39,987.33,44.3392,126.32,242.91727,4.42667,"2008-01-02 15:50"
"241",9.63,987.33,45.0048,134.64,242.11151,3.89333,"2008-01-02 16:00"
"242",9.65,987.33,46.08,128.16,246.60072,3.56,"2008-01-02 16:10"
"243",9.52,987.39,46.6432,117.92,219.20504,4.81333,"2008-01-02 16:20"
"244",9.46,987.46,47.6672,105.92,236.24101,3.94667,"2008-01-02 16:30"
"245",9.44,987.43,45.8752,88.72,236.35611,3.78667,"2008-01-02 16:40"
"246",9.22,987.46,45.5168,60.24,241.19065,4.25333,"2008-01-02 16:50"
"247",8.95,987.5,46.1312,39.56,228.29856,3.37333,"2008-01-02 17:00"
"248",8.76,987.53,46.6432,22.77,269.50719,3.48,"2008-01-02 17:10"
"249",8.68,987.59,46.3872,11.35,242.22662,4.16,"2008-01-02 17:20"
"250",8.5,987.7,46.7968,4.73625,269.50719,3.58667,"2008-01-02 17:30"
"251",8.44,987.7,46.5408,2.97125,247.17626,4.04,"2008-01-02 17:40"
"252",8.33,987.86,46.9504,2.38625,250.51439,3.90667,"2008-01-02 17:50"
"253",8.35,987.99,46.7968,2.3775,191.23381,4.32,"2008-01-02 18:00"
"254",8.29,987.99,46.7456,2.38125,194.11151,4.56,"2008-01-02 18:10"
"255",8.3,988.16,46.3872,2.405,280.55755,3.77333,"2008-01-02 18:20"
"256",8.26,988.12,46.08,2.41875,262.94604,3.4,"2008-01-02 18:30"
"257",8.25,988.23,45.568,2.38,252.01079,3.16,"2008-01-02 18:40"
"258",8.19,988.32,45.4144,2.345,250.51439,2.37333,"2008-01-02 18:50"
"259",8.09,988.36,45.4656,2.43,333.85252,2.04,"2008-01-02 19:00"
"260",7.93,988.49,46.6944,2.3925,252.47122,2.01333,"2008-01-02 19:10"
"261",7.83,988.59,47.872,2.37375,291.14748,1.26667,"2008-01-02 19:20"
"262",7.71,988.56,48.7936,2.40875,216.55755,1.26667,"2008-01-02 19:30"
"263",7.6,988.66,49.7152,2.41875,182.60072,0.89333,"2008-01-02 19:40"
"264",7.48,988.69,50.176,2.39,198.48561,0.49333,"2008-01-02 19:50"
"265",7.48,988.79,50.8416,2.40625,300.70144,0.66667,"2008-01-02 20:00"
"266",7.53,988.86,51.4048,2.39875,296.44245,1.48,"2008-01-02 20:10"
"267",7.49,988.89,52.7872,2.42125,242.11151,2.33333,"2008-01-02 20:20"
"268",7.32,988.79,54.3232,2.41125,248.09712,1.94667,"2008-01-02 20:30"
"269",7.23,988.76,54.8864,2.3925,259.72302,2.52,"2008-01-02 20:40"
"270",7.16,988.76,55.0912,2.43125,281.82374,1.32,"2008-01-02 20:50"
"271",7.06,988.79,55.7056,2.41,288.03957,1.04,"2008-01-02 21:00"
"272",6.92,988.86,56.6784,2.4,311.29137,0.92,"2008-01-02 21:10"
"273",6.8,988.89,57.3952,2.44125,290.11151,1,"2008-01-02 21:20"
"274",6.62,988.89,58.3168,2.415,251.89568,0.92,"2008-01-02 21:30"
"275",6.29,988.92,59.648,2.41875,246.71583,1.12,"2008-01-02 21:40"
"276",6.36,988.92,59.7504,2.96875,160.5,1.89333,"2008-01-02 21:50"
"277",6.29,989.06,60.3648,2.415,264.90288,1.17333,"2008-01-02 22:00"
"278",6.02,989.06,61.0816,2.3925,130.11151,0.98667,"2008-01-02 22:10"
"279",5.55,989.09,63.1808,2.4525,155.08993,1.53333,"2008-01-02 22:20"
"280",5.21,989.19,63.9488,2.4325,135.52158,1.13333,"2008-01-02 22:30"
"281",4.8,989.33,65.2288,2.4075,132.75899,1.16,"2008-01-02 22:40"
"282",4.66,989.36,66.816,2.4375,241.9964,1.14667,"2008-01-02 22:50"
"283",4.86,989.39,66.048,2.4925,263.06115,1.49333,"2008-01-02 23:00"
"284",5.04,989.43,64.256,2.48875,266.16906,1.88,"2008-01-02 23:10"
"285",5.31,989.46,62.5152,2.44375,97.30576,1.04,"2008-01-02 23:20"
"286",5.03,989.36,62.9248,2.4075,119.40648,1.10667,"2008-01-02 23:30"
"287",4.5,989.39,64.7168,2.43375,134.83094,1.90667,"2008-01-02 23:40"
"288",4.21,989.39,65.9456,2.42625,133.91007,2.37333,"2008-01-02 23:50"
"289",4.5,989.36,63.744,3.01375,132.64389,1.98667,"2008-01-03 00:00"
"290",4.59,989.32,62.1056,2.425,145.19065,0.98667,"2008-01-03 00:10"
"291",4.73,989.23,61.0304,2.4525,141.04676,1.42667,"2008-01-03 00:20"
"292",4.2,989.19,63.3344,2.42875,131.3777,1.49333,"2008-01-03 00:30"
"293",4.28,989.19,63.1808,2.45,145.88129,1.84,"2008-01-03 00:40"
"294",4.61,989.16,61.4912,2.42375,152.32734,2.21333,"2008-01-03 00:50"
"295",4.48,989.12,61.952,2.4425,147.72302,1.8,"2008-01-03 01:00"
"296",4.83,988.99,59.9552,2.455,132.75899,1.76,"2008-01-03 01:10"
"297",4.6,988.96,60.9792,2.43875,109.39209,2.09333,"2008-01-03 01:20"
"298",4.4,989.16,61.5424,2.45125,111.11871,1.50667,"2008-01-03 01:30"
"299",4.57,989.16,60.6208,2.41,127.46403,1.84,"2008-01-03 01:40"
"300",4,989.23,62.5664,2.4,130.68705,1.98667,"2008-01-03 01:50"
"301",3.64,989.32,63.6416,2.415,115.83813,1.78667,"2008-01-03 02:00"
"302",3.44,989.63,65.1264,2.3825,59.43525,1.54667,"2008-01-03 02:10"
"303",3.84,989.63,63.3856,2.415,99.14748,1.45333,"2008-01-03 02:20"
"304",3.5,989.72,64.3072,2.4075,88.90288,2.13333,"2008-01-03 02:30"
"305",3.53,989.79,64.512,2.47625,96.38489,2.58667,"2008-01-03 02:40"
"306",3.34,989.82,64.6144,2.44,95.23381,2.2,"2008-01-03 02:50"
"307",2.99,989.85,65.8944,2.425,75.20504,1.25333,"2008-01-03 03:00"
"308",3.2,989.89,66.2016,2.4475,157.96763,1.24,"2008-01-03 03:10"
"309",3.41,989.89,65.9968,2.44375,71.86691,1.64,"2008-01-03 03:20"
"310",3.86,989.92,65.2288,2.44625,54.02518,1.94667,"2008-01-03 03:30"
"311",3.88,989.99,64.7168,2.425,42.91727,1.36,"2008-01-03 03:40"
"312",3.62,989.99,65.2288,2.4475,79.80935,1.41333,"2008-01-03 03:50"
"313",3.34,990.09,65.9968,2.4475,60.24101,0.94667,"2008-01-03 04:00"
"314",3.46,990.05,65.8432,2.41375,36.91727,1.28,"2008-01-03 04:10"
"315",3.43,990.05,65.2288,2.43875,86.3705,1.44,"2008-01-03 04:20"
"316",3.69,990.02,63.488,2.44875,219.32014,1.12,"2008-01-03 04:30"
"317",3.02,990.02,65.1264,2.44625,261.56475,1.04,"2008-01-03 04:40"
"318",2.67,990.12,66.4064,2.4375,63.23381,0.82667,"2008-01-03 04:50"
"319",2.28,990.22,67.2256,2.42875,121.47842,0.90667,"2008-01-03 05:00"
"320",2.8,990.36,65.8944,2.4475,96.03957,1.50667,"2008-01-03 05:10"
"321",3.75,990.39,61.6448,2.49875,77.04676,1.36,"2008-01-03 05:20"
"322",3.87,990.45,60.2624,2.46875,3.30755,0.68,"2008-01-03 05:30"
"323",3.64,990.59,60.416,2.40625,337.42086,0.94667,"2008-01-03 05:40"
"324",3.23,990.72,63.232,2.41875,68.8741,0.8,"2008-01-03 05:50"
